ko,en,tw
종합 점수,Total Score,總分
각 종목별 1RM 테스트를 통해 근력 수준을 평가합니다.,Evaluate the strength level through 1RM test,透過1RM測試評估力量水平
XIM 평가 근력 점수,Xim Strength Score,Xim 力量評分
"ACSM 가이드라인을 기준으로 각 운동별로 나이, 성별, 몸무게를 고려하여 본인의 근력 수준을 점수로 표현합니다.","Provide a strength score depending on individual’s age, sex, body weight through ACSM guideline.",根據 ACSM 指南，根據個人的年齡、性別、體重提供力量評分。
XIM 평가 밸런스 점수,Xim Balance Score,Xim 平衡分數
왼쪽과 오른쪽의 힘 밸런스를 측정하여 차이에 대한 수치를 점수로 표현합니다.운동 시 힘의 밸런스가 맞지 않다면 신체적으로 불균형한 근육 발달이 일어날 뿐 아니라 약화된 부위에 대한 부상의 위험도 커지게 됩니다.,Provide a balance score by measuring strength difference between left and right side. Unbalanced strength might lead to occur injuries in a higher chance when exercising.,透過測量左右側的力量差異來提供平衡分數。力量不平衡可能會導致運動時受傷的幾率較高。
비고,Note,筆記
벤치 프레스,Bench Press,臥推
렛 풀 다운,Lat Pull Down,高位下拉
숄더 프레스,Shoulder Press,肩部推舉
데드리프트,Deadlift,硬舉
인쇄,Print,列印
공유,Share,分享
측정 결과가 없습니다.\n심 머신에서 근력 측정을 진행해주세요!,There are no measurement results.\nPlease proceed with the muscle strength\nmeasurement on the heart machine!,沒有測量結果。
벤치 프레스,Bench Press,臥推
숄더 프레스,Shoulder Press,肩部推舉
렛 풀 다운,Lat Pull Down,高位下拉
데드리프트,Deadlift,硬舉
숄더 프레스,Shoulder\n Press,肩部\n 推舉
회원권,Membership,會員資格
명지점,Myongji branch,明知分店
회원권을 선택하고 리앤핏에서 운동을 시작해보세요!,Choose a membership and start working out with Renfit!,選擇會員資格並開始與 Renfit 一起鍛鍊！
리앤핏 회원권,Renfit Membership,倫菲特會員
개월,month,月
정상가,Price,價格
원,won,韓元
오픈이벤트,Open Event,公開活動
회원권 관련 안내사항,Membership Information,會員資訊
표준 이용 약관 보기,View details,看詳情
회원권을 선택해 주세요,Please select a membership,請選擇會員資格
회원권 선택,Select Membership,選擇會員資格
로그인 되었습니다.,Logged in,已登入
모두의 순위,Overall Ranking,總排名
당신의 순위,My Ranking,我的排名
출석,Attendance,出席率
운동시간,Exercise Time,運動時間
근력\n운동 총량,Total Strength Training,全面肌力訓練
유산소\n소모칼로리,Aerobic Calories Burned,有氧消耗卡路里
2분 스탭,2-Min Step,2 分鐘步
@rank위,@rank,@秩
@day 일,@day Days,@天日
@hour시간@minute분,@hour:@minute,@小時：@分鐘
@kgKg,@kg Kg,@公斤公斤
@kcal Kcal,@kcal Kcal,@kcal千卡
@step 스탭수,@step Steps,@step 步驟
일일 데이터,Daily Information,每日資訊
세트,Set,放
갯수,Reps,代表
운동 총량,Target Weight,目標體重
실제중량,Weight,重量
운동 총량,Total,全部的
근력 측정을 진행했습니다.,Muscle strength measurement was conducted.,進行肌肉力量測量。
근기능 측정을 진행했습니다.,Muscle function measurement was conducted.,進行肌肉功能測量。
운동 정보가 잘못되었습니다.,Workout information is invalid.,鍛鍊資訊無效。
측정 정보가 잘못되었습니다.,Measurement information is invalid.,測量資訊無效。
단축중량,Short w.,短w。
신장중량,Eccentric,偏心
운동 총량,Total,全部的
설정중량,Set-Weight,設定重量
스프링계수,Constant,持續的
목표중량,Target,目標
시작중량,Start,開始
최종중량,Final,最終的
펼때 힘 평균,Average Unfolding Force,平均展開力
접을때 힘 평균,Average Folding Force,平均折疊力
합산 평균 힘,Combined Average Force,綜合平均力
좌측 힘,Left Force,左力
우측 힘,Right Force,右力
해당 월의 출석일을 표시합니다.\n출석일 선택 시 각 운동별 일일 데이터를\n확인할 수 있습니다.\n\n일일 운동 부위에 따라\n달력에 표시되는 색상이 달라집니다.,Displays the monthly attendance days. Select a day to view exercise data.\nThe color displayed on the calendar varies depending on the daily exercise area.,顯示每月出席天數。選擇一天查看鍛鍊資料。
상체운동,Upper body,上半身
하체운동,Lower body,下半身
테스트,Test,測試
상하체운동,Full body,全身
유산소운동,Cardio,有氧運動
근력+유산소,Strength+Cardio,力量+有氧運動
전체 선택,Select All,選擇全部
1일 이상 출석,1 day,1天
2일 이상 출석,2 days,2天
3일 이상 출석,3 days,3天
4일 이상 출석,>4 days,>4天
운동 데이터가 없어요!,No workout data found!,沒有找到鍛鍊數據！
데이터를 로드하는 동안 오류가 발생했습니다. 다시 시도해 주세요.,An error occurred while loading the data. Please try again.,載入資料時發生錯誤。請再試一次。
미니플러스,Miniplus,迷你加
심,Xim,希姆
스마트모듈,Module,模組
등속성 모드,Equivalence Mode,等效模式
등장성 모드,Extension Mode,擴展模式
컨텐츠 모드,Content Mode,內容模式
트레이닝 모드,Training Mode,訓練模式
,No workout data for this month!,本月沒有運動數據！
클라이밋,Climit,克利米特
스텝수,Level,等級
소모칼로리,Kcal,大卡
운동거리,Distance,距離
@mm분 @ss초,@mm:@ss,@mm:@ss
퍼펙트,Perfect,完美的
너무 좋아요,Very Good,非常好
좀 더 노력해요,Try Harder,更加努力
너무 작아요,Too Small,太小
운동 내용 상세 보기,View Details,看詳情
운동 내용,Exercise Details,運動詳情
진행중,In Progress,進行中
오늘의 운동,Today's Exercise,今天的練習
운동 플랜,Exercise Plan,鍛鍊計畫
운동 플랜이 없습니다.,No Exercise Plan.,沒有運動計畫。
트레이너에게 문의 해보세요.,Consult Your Trainer.,請諮詢您的培訓師。
운동 플랜 상세 보기,View Plan Details,查看計劃詳情
허벅지,Thigh,大腿
엉덩이,Hip,時髦的
등,Back,後退
복부,Abdominal,腹部
어깨,Shoulder,肩膀
팔,Arm,手臂
가슴,Chest,胸部
종아리,Calf,小牛
현재 주차,Current Week,本週
일정,Schedule,行程
완료 플랜 수,Completed,完全的
주차,{ordinal number} week,{序數}週
주 과정,{number}-week workout,{number} 週鍛煉
개,OO,物件導向
@day 일차,Day @day,日@day
오늘 할 플랜,Today's plan,今天的計劃
자세히 보기,View,看法
사용 머신,Used Machine,二手機器
단련 부위,Targeted Area,目標區域
운동 플랜!,Exercise Plan!,鍛鍊計畫！
트레이너가 설계한,The,這
운동 플랜,workout plan,鍛鍊計畫
은\n이번주에 최소한 해야하는 운동 횟수 입니다.\n수행 여부에 따라,designed by your trainer indicates the minimum number of workouts you need to complete this week. The,由您的教練設計的指示您本週需要完成的最少鍛鍊次數。這
시스템이 관리,system will manage,系統將管理
하니\n운동만 열심히 해주세요!,"your progress based on your performance, so just focus on exercising diligently!",你的進步取決於你的表現，所以只要專注於努力鍛鍊就好了！
운동플랜 업데이트: 매주 월요일 am03:00,Update: Every Monday at 3:00 am,更新時間：每週一凌晨 3:00
오늘은 운동 플랜이 없습니다.,There is no exercise plan today.,今天沒有運動計畫。
트레이너에게 문의 해보세요.,Please contact the trainer.,請聯繫培訓師。
진행 시간,Period,時期
좌측(한손),Left,左
우측(한손),Right,右
덤벨(양손),Dubmbbell,啞鈴
바벨(양손),Barbell,槓鈴
전신,Full Body,全身
운동모드,Mode,模式
진행 시간,Duration,期間
횟수,Reps,次
운동 방법,Exercise Instruction,運動指導
주의사항,Precautions,預防措施
메모,Notes,筆記
좌/우 구분,Left/Right,左/右
손잡이,Handle,處理
운동 준비물,Exercise Supplies,運動用品
준비물이 없습니다.,No supplies needed.,無需補給。
날짜,Date,日期
이미지,Image,影像
암 선택,Arm Selection,手臂選擇
왼쪽 암,Left Arm,左臂
사용 안함,Not Used,未使用
상하 핀번호 :,Up/Down Pin:,上/下銷：
좌우 핀번호 :,Side Pin:,側銷：
오른쪽 암,Right Arm,右臂
운동 동작 목록,Exercise List,練習清單
핏바이저,Fitvisor,健身者
