key,en,ko
actual_weight,Weight,실제중량
total_weight_calendar,Total,운동 총량
xim_measurement,Muscle strength measurement was conducted.,근력 측정을 진행했습니다.
miniplus_measurement,Muscle function measurement was conducted.,근기능 측정을 진행했습니다.
invalid_workout_information,Workout information is invalid.,운동 정보가 잘못되었습니다.
invalid_measurement_information,Measurement information is invalid.,측정 정보가 잘못되었습니다.
short_weight,Short w.,단축중량
eccentric,Eccentric,신장중량
total_calendar,Total,운동 총량
set_weight,Set-Weight,설정중량
constant,Constant,스프링계수
target_weight,Target,목표중량
start_weight,Start,시작중량
final_weight,Final,최종중량
average_unfolding_force,Average Unfolding Force,펼때 힘 평균
average_folding_force,Average Folding Force,접을때 힘 평균
combined_avr_force,Combined Average Force,합산 평균 힘
left_force,Left Force,좌측 힘
right_force,Right Force,우측 힘
calendar_description,Displays the monthly attendance days. Select a day to view exercise data.\nThe color displayed on the calendar varies depending on the daily exercise area.,해당 월의 출석일을 표시합니다.\n출석일 선택 시 각 운동별 일일 데이터를\n확인할 수 있습니다.\n\n일일 운동 부위에 따라\n달력에 표시되는 색상이 달라집니다.
workout_type1,Upper body,상체운동
workout_type2,Lower body,하체운동
workout_type3,Test,테스트
workout_type4,Full body,상하체운동
workout_type5,Cardio,유산소운동
workout_type6,Strength+Cardio,근력+유산소
select_all,Select All,전체 선택
worked_out_more_than_1,1 day,1일 이상 출석
worked_out_more_than_2,2 days,2일 이상 출석
worked_out_more_than_3,3 days,3일 이상 출석
worked_out_more_than_4,>4 days,4일 이상 출석
history_no_data_text,No workout data found!,운동 데이터가 없어요!
error_accured_while_loading,An error occurred while loading the data. Please try again.,데이터를 로드하는 동안 오류가 발생했습니다. 다시 시도해 주세요.
miniplus,Miniplus,미니플러스
xim,Xim,심
module,Module,스마트모듈
equivalence_mode,Equivalence Mode,등속성 모드
extension_mode,Extension Mode,등장성 모드
content_mode,Content Mode,컨텐츠 모드
training_mode,Training Mode,트레이닝 모드
climit,Climit,클라이밋
step_count,Level,스텝수
kcal_burned,Kcal,소모칼로리
exercise_range,Distance,운동거리
time_format_min_s,@mm:@ss,@mm분 @ss초
climit_perfect,Perfect,퍼펙트
climit_good,Very Good,너무 좋아요
climit_fair,Try Harder,좀 더 노력해요
climit_bad,Too Small,너무 작아요
why_keep_taping,Why are you keep tapping this?,왜 계속 이것을 탭하고 계십니까?
view_details,View Details,운동 내용 상세 보기
exercise_details,Exercise Details,운동 내용
in_progress,In Progress,진행중
today_exercise,Today's Exercise,오늘의 운동
exercise_plan,Exercise Plan,운동 플랜
no_exercise_plan,No Exercise Plan.,운동 플랜이 없습니다.
ask_trainer,Consult Your Trainer.,트레이너에게 문의 해보세요.
view_plan_details,View Plan Details,운동 플랜 상세 보기
THIGH,Thigh,허벅지
HIP,Hip,엉덩이
BACK,Back,등
ABDOMINAL,Abdominal,복부
SHOULDER,Shoulder,어깨
ARM,Arm,팔
CHEST,Chest,가슴
CALF,Calf,종아리
current_week,Current Week,현재 주차
schedule,,일정
completed_plan_count,Completed,완료 플랜 수
week,,주차
main_course,,주 과정
count,,개
day,Day @day,@day 일차
today_plan,Today's plan,오늘 할 플랜
view_details_button,View,자세히 보기
used_machine,Used Machine,사용 머신
targeted_area,Targeted Area,단련 부위
dialog_image_path,assets/images/renfit/exercise-program/dialog_image_en.png,assets/images/renfit/exercise-program/dialog_image_ko.png
exercise_plan!,Exercise Plan!,운동 플랜!
workout_plan_part1,The ,트레이너가 설계한 
workout_plan_part2,workout plan,운동 플랜
workout_plan_part3, designed by your trainer indicates the minimum number of workouts you need to complete this week. The ,은\n이번주에 최소한 해야하는 운동 횟수 입니다.\n수행 여부에 따라 
workout_plan_part4,system will manage,시스템이 관리
workout_plan_part5," your progress based on your performance, so just focus on exercising diligently!",하니\n운동만 열심히 해주세요!
exercise_plan_update,Update: Every Monday at 3:00 am,운동플랜 업데이트: 매주 월요일 am03:00
no_plan_today,There is no exercise plan today.,오늘은 운동 플랜이 없습니다.
contact_trainer,Please contact the trainer.,트레이너에게 문의 해보세요.
period,Period,진행 시간
LEFT,Left,좌측(한손)
RIGHT,Right,우측(한손)
DUMBBELL,Dubmbbell,덤벨(양손)
BARBELL,Barbell,바벨(양손)
FULL,Full Body,전신
workout_mode,Mode,운동모드
duration_desc,Duration,진행 시간
repetitions,Reps,횟수
exercise_instruction,Exercise Instruction,운동 방법
precautions,Precautions,주의사항
notes,Notes,메모
left_right_distinction,Left/Right,좌/우 구분
handle,Handle,손잡이
exercise_supplies,Exercise Supplies,운동 준비물
no_supplies_needed,No supplies needed.,준비물이 없습니다.
date,Date,날짜
image,Image,이미지
arm_selection,Arm Selection,암 선택
left_arm,Left Arm,왼쪽 암
not_used,Not Used,사용 안함
pin_number,Up/Down Pin:,상하 핀번호 :
side_pin,Side Pin:,좌우 핀번호 :
right_arm,Right Arm,오른쪽 암
exercise_list,Exercise List,운동 동작 목록 
sign_up_info,Please enter the information to sign up,회원가입을 위한 정보를 입력해주세요.
agree_to_all_terms,Agree to all terms,약관 전체 동의
terms_of_service_agreement_required,Agree to the terms of service (required),이용약관 동의(필수)
personal_information_collection_agreement_required,Agree to the collection and use of personal information (required),개인정보 수집 및 이용동의(필수)
email_sms_marketing_agreement_optional,Agree to receive marketing information via E-mail and SMS (optional),E-mail 및 SMS 광고성 정보 수신동의(선택)
promotion_event_info,We will send you information about various promotions and events.,"다양한 프로모션 소식, 이벤트 정보를 보내드립니다."
name,Name,이름
date_of_birth_text_field,Date of Birth,생년월일
date_format_example,"Please enter numbers only in the format MM/DD/YYYY (e.g., 01312023).",예) 20240101 형식으로 숫자만 입력해주세요.
date_format,MMddyyyy,yyyyMMdd
select_country,Select Country,국가 선택
phone_number_numeric_only,Please enter only numbers for your phone number.,휴대폰 번호를 숫자만 입력해 주세요.
phone_number_txf,Phone Number,휴대폰번호
verification_request,Verify,인증요청
verification_code_not_received,Didn't receive the verification code?,인증번호가 오지 않는다면?
verify_phone_number,Please check if your phone number is correct. The verification code may be delayed depending on your carrier.\n\nYou can resend the verification code once every minute.,휴대전화번호가 정확한지 확인해 주세요. 통신사에 따라 인증번호 발송이 늦어질 수 있습니다.\n\n인증번호 재전송은 1분에 1회 가능합니다.
enter_verification_code,Verification code.,인증번호를 입력해주세요.
email,Email,이메일
gender_required,Gender (Required),성별(필수)
user_already_exist,User already exists.,이미 리앤핏 회원이시네요.
user_already_exist_message,The user already exists.,이미 가입된 회원입니다. 로그인을 진행할까요
go_to_login_dialog,Go to Login,로그인 하러 가기
welcome_user,"Welcome, @userName!","@userName님, 환영합니다!"
start_exercise,Start a fail-proof workout with Renfit.,리앤핏과 함께 실패없는 운동을\n시작해보세요.
start_renfit,Start,리앤핏 시작하기
check_id,Check ID,아이디 확인
check_id_desc,Here is the list of IDs that match your information.,회원님의 정보와 일치하는 아이디 목록입니다.
user_does_not_exist,Renfit account does not exist.,리앤핏 계정이 존재하지 않습니다.
user_does_not_exist_desc,"No Renfit account matches the provided information. If you don't remember your ID, please use [Find ID] first before attempting to recover your password.",입력한 정보와 일치하는 리앤핏계정이 존재하지 않습니다. \n아이디가 기억나지 않으시면 먼저 [아이디 찾기] 를 진행한 후 비밀번호 찾기를 시도해 주세요.
kakao_login,Kakao Social Login,카카오 소셜 로그인
naver_login,Naver Social Login,네이버 소셜 로그인
apple_login,Apple Social Login,애플 소셜 로그인
google_login,Google Social Login,구글 소셜 로그인
find_password_desc,Please enter the information to retrieve your password.,비밀번호를 찾기 위한 정보를 입력해 주세요.
date_format_day,Joined on @year/@month/@day,@year년 @month월 @day일 가입
reset_password_description,Please reset the password for your account.,계정의 비밀번호를 재설정해 주세요.
password_changed,Password Reset Complete,비밀번호 재설정 완료
password_changed_desc,Please log in with your new password.,변경된 비밀번호로 로그인해주세요.
setting_page,Settings,설정
manage_my_information,Manage My Information,내 정보 관리
email_id,Email ID,이메일 아이디
change_password,Change Password,비밀번호 변경
linked_account,Linked Account Information,연결 계정 정보
linked_account_title,Account Information,계정 정보 안내
linked_account_desc,These are the social login accounts linked to your account.,회원님의 계정에 연결된 소셜 로그인 계정입니다.
change_name,Edit Name,이름 수정
edit_confirm,Confirm,수정하기
change_phone_number,Edit Phone Number,휴대폰 번호 수정
change_phone_number_desc,Your member number will not change even if your phone number does.,휴대폰 번호가 변경되더라도 멤버 번호는 바뀌지 않습니다.
change_password_enter_old,Enter Current Password,현재 비밀번호 입력
change_password_enter_old_desc,Please enter your current password to verify your linked account information.,연결된 계정 정보를 확인하기 위해 현재 비밀번호를 입력해주세요.
change_password_title,Edit Password,비밀번호 수정
error_while_changing_data,An error occurred while updating your information.,정보를 업데이트하는 중에 오류가 발생했습니다.
wrong_password,Incorrect Password,잘못된 비밀번호
didnt_receive_code,Didn't receive the verification code?,인증 번호가 오지 않나요?
did_not_receive_code_desc,Please check if your phone number is correct. The verification code may be delayed depending on your carrier.\n\nYou can resend the verification code once every minute.,휴대전화번호가 정확한지 확인해 주세요. 통신사에 따라 인증번호 발송이 늦어질 수 있습니다.\n\n인증번호 재전송은 1분에 1회 가능합니다.
fitvisor,,핏바이저
