key,en,ko,tw,new_word
naver_account,Naver Account,네이버 계정,Naver帳戶,existing
facebook_account,Facebook Account,페이스북 계정,臉書帳戶,existing
apple_account,Apple Account,애플 계정,蘋果帳戶,existing
google_account,Google Account,구글 계정,谷歌帳戶,existing
unlinked,,미연동,未連結,existing
linked,Linked,연동완료,連結,existing
unlink_id,Unlink @id,@id 연동해제,取消連結@id,existing
login_gmail,Login with Gmail,Gmail로 로그인하기,使用 Gmail 登入,existing
login_facebook,Login with Facebook,Facebook으로 로그인하기,使用 Facebook 登入,existing
login_kakao,Login with KakaoTalk,카카오로 로그인하기,使用 KakaoTalk 登入,existing
login_naver,Login with Naver,네이버로 로그인하기,使用 Naver 登入,existing
login_apple,Login with Apple,Apple로 로그인하기,使用蘋果登入,existing
payment_history,Subscription Payment History,회원권 결제 내역,訂閱付款歷史,existing
payment_history_desc,"The subscription fee is charged on the billing cycle start date, and it may take several days for the billing date to appear on your account.","이용권 요금은 결제 주기 시작일에 청구되며, 계정에 청구일이 표시될 때까지 수일이 걸릴 수 있습니다.",訂閱費用在計費週期開始日期收取，計費日期可能需要幾天時間才會顯示在您的帳戶上。,existing
no_payment_history,No payment history found.,결제 내역이 없어요,未找到付款記錄。,existing
payment_details_displayed,※ Payment history is displayed for the past 1 year only.,※ 결제 내역은 지난 1년 동안까지만 표시됩니다.,※ 僅顯示過去1年的付款記錄。,existing
result,Result,측정결과,結果,existing
strength,Strength,근력 측정결과,力量,existing
muscle_funtion,Muscle function,근기능 측정결과,肌肉功能,existing
mr_comment_very_good,Your muscle function is perfect.\nLet's keep it up\n,근기능이 아주 좋아요!\n꾸준히 유지해볼까요,你的肌肉功能很完美。,existing
mr_comment_good,Your muscle function is good.\nTry to make it perfect!\n\n,근기능이 좋습니다!\n조금만 개선하면 아주 좋을거에요,你的肌肉功能很好。,existing
mr_comment_normal,Your muscle function is normal.\nExercise is needed to be better.\n\n,근기능이 부족합니다.\n운동으로 충분히 좋아질 수 있어요,你的肌肉功能正常。,existing
mr_comment_bad,Your muscle function is bad\nLet's start work out together.\n,근기능의 개선이 시급합니다.\n우리 같이 운동을 시작해볼까요?,你的肌肉功能不好\n我們一起開始運動吧。,existing
mr_comment_no_data,The measurement hasn't\ncompleted yet.,측정이 안된 부위가 있어요.\n모두 측정 후 다시 진행해주세요.,測量尚未完成。,existing
mr_client_id,Client No.,회원번호,客戶編號,existing
mr_age,Age,나이,年齡,existing
mr_sex,Sex,성별,性別,existing
mr_sex,Sex,성별,性別,existing
mr_male,M,남,男性,existing
mr_male,M,남,中號,existing
mr_female,F,여,女性,existing
mr_female,F,여,F,existing
mr_muscle_function_measurement,Muscle Function Measurement\nResults,근기능 측정 결과,肌肉功能測量\n結果,existing
mr_weight,Weight,체중,重量,existing
mr_weight,Weight,체중,重量,existing
mr_print_date,Print date,출력일,列印日期,existing
mr_print_date_format,"dd/MM/yyyy, HH:mm",yyyy-MM-dd HH:mm,日/月/年，時:分,existing
mr_miniplus_overall_score,Measurement Overall Score,미니플러스 근기능 종합 점수,測量總分,existing
mr_measurement_details,Measurement Details,측정 결과 비교,測量詳情,existing
mr_imbalance,Imbalance,매우 약함,不平衡,existing
mr_balance,Balance,균형,平衡,existing
mr_left,L,좌,左,existing
mr_right,R,우,右,existing
mr_front,F,전,正面,existing
mr_back,B,후,背面,existing
mt_date_format_pie,dd/MM/yyyy,yyyy-MM-dd,日/月/年,existing
mr_push,UE Front (L/R),상체 전면 좌:우,UE 前（左/右）,existing
mr_pull,UE Back (L/R),상체 후면 좌:우,UE 後（左/右）,existing
mr_rot,Trunk Rotation (L/R),몸통 좌:우,軀幹旋轉（左/右）,existing
mr_upper,UE (Front/Back),상체 전:후,UE（前/後）,existing
mr_lower,LE (Front/Back),하체 전:후,LE（前/後）,existing
mr_right_top_description,Measurement results | Based on the latest measurement data,측정 결과 | 항목별 최근 측정 데이터 기준,測量結果|根據最新測量數據,existing
mr_detailed_balance_result,Detailed balance results,항목별 힘차이 측정 결과,詳細的餘額結果,existing
mr_pie_chart_comment_good,Your strength is balanced.,힘 차이가 거의 없습니다.,你的力量是平衡的。,existing
mr_pie_chart_comment_normal,Your balance is in normal range.,표기된 %만큼 그래프가 빈 쪽이 약합니다.,您的餘額在正常範圍內。,existing
mr_pie_chart_comment_bad,Risk of injury'll increase on weaker side.,약한 쪽의 부상 위험이 증가됩니다.,較弱的一側受傷的風險會增加。,existing
mr_pie_chart_comment_none,No data.,데이터 없음,沒有數據。,existing
mr_warming_text,"If there is a large difference in the number of\nmeasurement days (more than a month),\nreassessment is required for accurate results.",항목 간 측정 일수의 차이가 많이 나는 경우(한 달 이상)\n정확한 결과를 위해 재측정이 필요합니다.,如果測量天數相差較大（超過一個月），則需要重新評估以獲得準確的結果。,existing
mr_exercise_history,Exercise History,지난 결과와 비교,運動史,existing
mr_before,Before,이전,前,existing
mr_recent,Recent,최근,最近,existing
mr_recent,Recent,최근,最近的,existing
mr_no_data_line_chart,Measurement is\nneeded,측정이 필요합니다.,需要測量,existing
mr_initial_data,Initial Data,최초측정,初始數據,existing
mr_tracking_details,Tracking Details,근기능 추세,追蹤詳情,existing
mr_tracking_comment,The tracking details shows maximum 10 measurement results.,본 결과지의 추세 그래프는 최근 측정 결과 포함 10회까지의 추세만 보여줍니다.,追蹤詳細資訊最多顯示 10 個測量結果。,existing
mr_end_comment,"A number of muscles in our body generates different movements. Balanced muscle strength would help improve\nexercise performance, pain control, and prevent injury risk. The Miniplus muscle function test measures and\nevaluates the muscle strength balance of our body through 7 kinds of movement tests.","우리 몸의 다양한 종류의 근육들은 서로 다른 움직임을 만들어 냅니다. 이러한 근육들의 밸런스가 향상 될수록, 운동 수행 효과 향상,\n부상 및 통증 방지가 됩니다. 미니플러스 근기능 평가는 7가지 기능 테스트를 통해 우리 몸의 근력 밸런스를 측정하고 평가합니다.",我們體內的許多肌肉會產生不同的運動。平衡的肌肉力量有助於提高運動表現、控制疼痛並預防受傷風險。 Miniplus肌肉功能測試透過7種運動測試來測量和評估我們身體的肌肉力量平衡。,existing
mr_how_to_calculate,How to calculate the overall score?  |  ,근기능 종합점수 산정 기준 |,總分如何計算？ |,existing
mr_how_to_calculate_solution,Total score of 100 points for\neach measurement data our of 20 points,평가항목을 각 20점 만점으로 종합 100점 산정,總分為 100 分，\n每項測量數據共 20 分,existing
mr_rep,,회,代表,existing
please_wait,Please wait,잠시만 기다려주세요,請稍等,existing
miniplus_report,Miniplus Report,Miniplus 결과지,迷你加報告,existing
miniplus_report_loading,Generating report,Miniplus 결과지 생성중...,產生報告,existing
xim_report_loading,Generating report,XIM 결과지 생성중...,產生報告,existing
evaluation,Evaluation,평가,評估,existing
weight_,Weight,몸무게,重量,existing
xim_evaluation,Xim Total Evaluation,XIM 종합 평가,西姆綜合評價,existing
muscular_strength,Detailed Results\n,종목별 근력 차이,詳細結果\n,existing
exercise_history,Detailed Results (muscular strength),종목별 밸런스 차이,詳細結果（肌肉力量）,existing
comparison_of_measurement_data,Comparison of measurement data,측정 데이터 비교 - 측정 운동 기록 12회차,測量數據對比,existing
muscle_strength_score,Strength Score,근력점수,力量分數,existing
xim_ranking,Rank,순위,秩,existing
xim_score,,점,積分,existing
xim_top,Top,연령•성별 대비\n상위,頂部,existing
xim_overall_score,Total Score,종합 점수,總分,existing
xim_strength_level,Evaluate the strength level through 1RM test,각 종목별 1RM 테스트를 통해 근력 수준을 평가합니다.,透過1RM測試評估力量水平,existing
xim_evaluation_strength_score,Xim Strength Score,XIM 평가 근력 점수,Xim 力量評分,existing
xim_evaluation_result,"Provide a strength score depending on individual’s age, sex, body weight through ACSM guideline.","ACSM 가이드라인을 기준으로 각 운동별로 나이, 성별, 몸무게를 고려하여 본인의 근력 수준을 점수로 표현합니다.",根據 ACSM 指南，根據個人的年齡、性別、體重提供力量評分。,existing
xim_evaluation_report,Xim Balance Score,XIM 평가 밸런스 점수,Xim 平衡分數,existing
xim_final_description,Provide a balance score by measuring strength difference between left and right side. Unbalanced strength might lead to occur injuries in a higher chance when exercising.  ,왼쪽과 오른쪽의 힘 밸런스를 측정하여 차이에 대한 수치를 점수로 표현합니다.운동 시 힘의 밸런스가 맞지 않다면 신체적으로 불균형한 근육 발달이 일어날 뿐 아니라 약화된 부위에 대한 부상의 위험도 커지게 됩니다.,透過測量左右側的力量差異來提供平衡分數。力量不平衡可能會導致運動時受傷的幾率較高。,existing
note,Note,비고,筆記,existing
bench_press,Bench Press,벤치 프레스,臥推,existing
bench_press,Bench Press,벤치 프레스,臥推,existing
lat_pull_down,Lat Pull Down,렛 풀 다운,高位下拉,existing
lat_pull_down,Lat Pull Down,렛 풀 다운,高位下拉,existing
SHOULDER001,Shoulder Press,숄더 프레스,肩部推舉,existing
SHOULDER001,Shoulder Press,숄더 프레스,肩部推舉,existing
SHOULDER001,Shoulder Press,숄더 프레스,肩部\n 推舉,existing
BACK001,Deadlift,데드리프트,硬舉,existing
BACK001,Deadlift,데드리프트,硬舉,existing
print,Print,인쇄,列印,existing
share,Share,공유,分享,existing
miniplus_report_description,There are no measurement results.\nPlease proceed with the muscle strength\nmeasurement on the heart machine!,측정 결과가 없습니다.\n심 머신에서 근력 측정을 진행해주세요!,沒有測量結果。,existing
TYPE_00008,Bench Press,벤치 프레스,臥推,existing
TYPE_00008,Bench Press,벤치 프레스,臥推,existing
TYPE_00015,Shoulder Press,숄더 프레스,肩部推舉,existing
TYPE_00015,Shoulder Press,숄더 프레스,肩部推舉,existing
TYPE_00015,Shoulder Press,숄더 프레스,肩部\n 推舉,existing
TYPE_00003,Lat Pull Down,렛 풀 다운,高位下拉,existing
TYPE_00003,Lat Pull Down,렛 풀 다운,高位下拉,existing
TYPE_00002,Deadlift,데드리프트,硬舉,existing
TYPE_00002,Deadlift,데드리프트,硬舉,existing
shoulder_custom,Shoulder\n  Press,숄더 프레스,肩部推舉,existing
shoulder_custom,Shoulder\n  Press,숄더 프레스,肩部推舉,existing
shoulder_custom,Shoulder\n  Press,숄더 프레스,肩部\n 推舉,existing
membership_info_1,Membership,회원권,會員資格,existing
membership_info_2,Myongji branch,명지점,明知分店,existing
membership_info_desc,Choose a membership and start working out with Renfit!,회원권을 선택하고 리앤핏에서 운동을 시작해보세요!,選擇會員資格並開始與 Renfit 一起鍛鍊！,existing
membership_renfit,Renfit Membership,리앤핏 회원권,倫菲特會員,existing
membership_renfit,Renfit Membership,리앤핏 회원권,倫菲特會員,existing
month, month,개월,月,existing
regular_price,Price,정상가,價格,existing
won, won,원,韓元,existing
open_event,Open Event,오픈이벤트,公開活動,existing
membership_information,Membership Information,회원권 관련 안내사항,會員資訊,existing
view_privacy_and_policy,View details,표준 이용 약관 보기,看詳情,existing
please_select_membership,Please select a membership,회원권을 선택해 주세요,請選擇會員資格,existing
select_membership,Select Membership,회원권 선택,選擇會員資格,existing
logged_in,Logged in,로그인 되었습니다.,已登入,existing
overall_ranking,Overall Ranking,모두의 순위,總排名,existing
my_ranking,My Ranking,당신의 순위,我的排名,existing
attendance,Attendance,출석,出席率,existing
exercise_time,Exercise Time,운동시간,運動時間,existing
total_strength,Total Strength Training,근력\n운동 총량,全面肌力訓練,existing
aerobic_calories_burned,Aerobic Calories Burned,유산소\n소모칼로리,有氧消耗卡路里,existing
2-min-step,2-Min Step,2분 스탭,2 分鐘步,existing
rank,@rank,@rank위,@秩,existing
days,@day Days,@day 일,@天日,existing
duration,@hour:@minute,@hour시간@minute분,@小時：@分鐘,existing
kg,@kg Kg,@kgKg,@公斤公斤,existing
kcal,@kcal Kcal,@kcal Kcal,@kcal千卡,existing
steps,@step Steps,@step 스탭수,@step 步驟,existing
daily_workout,Daily Information,일일 데이터,每日資訊,existing
sets,Set,세트,放,existing
reps,Reps,갯수,代表,existing
target,Target Weight,운동 총량,目標體重,existing
target,Target Weight,운동 총량,全部的,existing
target,Target Weight,운동 총량,全部的,existing
actual_weight,Weight,실제중량,重量,existing
total_weight_calendar,Total,운동 총량,目標體重,existing
total_weight_calendar,Total,운동 총량,全部的,existing
total_weight_calendar,Total,운동 총량,全部的,existing
xim_measurement,Muscle strength measurement was conducted.,근력 측정을 진행했습니다.,進行肌肉力量測量。,existing
miniplus_measurement,Muscle function measurement was conducted.,근기능 측정을 진행했습니다.,進行肌肉功能測量。,existing
invalid_workout_information,Workout information is invalid.,운동 정보가 잘못되었습니다.,鍛鍊資訊無效。,existing
invalid_measurement_information,Measurement information is invalid.,측정 정보가 잘못되었습니다.,測量資訊無效。,existing
short_weight,Short w.,단축중량,短w。,existing
eccentric,Eccentric,신장중량,偏心,existing
total_calendar,Total,운동 총량,目標體重,existing
total_calendar,Total,운동 총량,全部的,existing
total_calendar,Total,운동 총량,全部的,existing
set_weight,Set-Weight,설정중량,設定重量,existing
constant,Constant,스프링계수,持續的,existing
target_weight,Target,목표중량,目標,existing
start_weight,Start,시작중량,開始,existing
final_weight,Final,최종중량,最終的,existing
average_unfolding_force,Average Unfolding Force,펼때 힘 평균,平均展開力,existing
average_folding_force,Average Folding Force,접을때 힘 평균,平均折疊力,existing
combined_avr_force,Combined Average Force,합산 평균 힘,綜合平均力,existing
left_force,Left Force,좌측 힘,左力,existing
right_force,Right Force,우측 힘,右力,existing
calendar_description,Displays the monthly attendance days. Select a day to view exercise data.\nThe color displayed on the calendar varies depending on the daily exercise area.,해당 월의 출석일을 표시합니다.\n출석일 선택 시 각 운동별 일일 데이터를\n확인할 수 있습니다.\n\n일일 운동 부위에 따라\n달력에 표시되는 색상이 달라집니다.,顯示每月出席天數。選擇一天查看鍛鍊資料。,existing
workout_type1,Upper body,상체운동,上半身,existing
workout_type2,Lower body,하체운동,下半身,existing
workout_type3,Test,테스트,測試,existing
workout_type4,Full body,상하체운동,全身,existing
workout_type5,Cardio,유산소운동,有氧活動,existing
workout_type5,Cardio,유산소운동,有氧運動,existing
workout_type6,Strength+Cardio,근력+유산소,力量+有氧運動,existing
select_all,Select All,전체 선택,選擇全部,existing
worked_out_more_than_1,1 day,1일 이상 출석,1天,existing
worked_out_more_than_2,2 days,2일 이상 출석,2天,existing
worked_out_more_than_3,3 days,3일 이상 출석,3天,existing
worked_out_more_than_4,>4 days,4일 이상 출석,>4天,existing
history_no_data_text,No workout data found!,운동 데이터가 없어요!,沒有找到鍛鍊數據！,existing
error_accured_while_loading,An error occurred while loading the data. Please try again.,데이터를 로드하는 동안 오류가 발생했습니다. 다시 시도해 주세요.,載入資料時發生錯誤。請再試一次。,existing
miniplus,Miniplus,미니플러스,迷你加,existing
xim,Xim,심,希姆,existing
module,Module,스마트모듈,模組,existing
equivalence_mode,Equivalence Mode,등속성 모드,等效模式,existing
extension_mode,Extension Mode,등장성 모드,擴展模式,existing
content_mode,Content Mode,컨텐츠 모드,內容模式,existing
training_mode,Training Mode,트레이닝 모드,訓練模式,existing
climit,Climit,클라이밋,克利米特,existing
step_count,Level,스텝수,等級,existing
kcal_burned,Kcal,소모칼로리,大卡,existing
exercise_range,Distance,운동거리,距離,existing
time_format_min_s,@mm:@ss,@mm분 @ss초,@mm:@ss,existing
climit_perfect,Perfect,퍼펙트,完美的,existing
climit_good,Very Good,너무 좋아요,非常好,existing
climit_fair,Try Harder,좀 더 노력해요,更加努力,existing
climit_bad,Too Small,너무 작아요,太小,existing
view_details,View Details,운동 내용 상세 보기,看詳情,existing
exercise_details,Exercise Details,운동 내용,運動詳情,existing
in_progress,In Progress,진행중,進行中,existing
today_exercise,Today's Exercise,오늘의 운동,今天的練習,existing
exercise_plan,Exercise Plan,운동 플랜,鍛鍊計畫,existing
exercise_plan,Exercise Plan,운동 플랜,鍛鍊計畫,existing
no_exercise_plan,No Exercise Plan.,운동 플랜이 없습니다.,沒有運動計畫。,existing
ask_trainer,Consult Your Trainer.,트레이너에게 문의 해보세요.,請諮詢您的培訓師。,existing
ask_trainer,Consult Your Trainer.,트레이너에게 문의 해보세요.,請聯繫培訓師。,existing
view_plan_details,View Plan Details,운동 플랜 상세 보기,查看計劃詳情,existing
THIGH,Thigh,허벅지,大腿,existing
HIP,Hip,엉덩이,時髦的,existing
BACK,Back,등,後退,existing
ABDOMINAL,Abdominal,복부,腹部,existing
SHOULDER,Shoulder,어깨,肩膀,existing
ARM,Arm,팔,手臂,existing
CHEST,Chest,가슴,胸部,existing
CALF,Calf,종아리,小牛,existing
current_week,Current Week,현재 주차,本週,existing
schedule,,일정,行程,existing
completed_plan_count,Completed,완료 플랜 수,完全的,existing
week,,주차,{序數}週,existing
main_course,,주 과정,{number} 週鍛煉,existing
count,,개,物件導向,existing
day,Day @day,@day 일차,日@day,existing
today_plan,Today's plan,오늘 할 플랜,今天的計劃,existing
view_details_button,View,자세히 보기,看法,existing
used_machine,Used Machine,사용 머신,二手機器,existing
targeted_area,Targeted Area,단련 부위,目標區域,existing
exercise_plan!,Exercise Plan!,운동 플랜!,鍛鍊計畫！,existing
workout_plan_part1,The ,트레이너가 설계한,這,existing
workout_plan_part2,workout plan,운동 플랜,鍛鍊計畫,existing
workout_plan_part2,workout plan,운동 플랜,鍛鍊計畫,existing
workout_plan_part3, designed by your trainer indicates the minimum number of workouts you need to complete this week. The ,은\n이번주에 최소한 해야하는 운동 횟수 입니다.\n수행 여부에 따라,由您的教練設計的指示您本週需要完成的最少鍛鍊次數。這,existing
workout_plan_part4,system will manage,시스템이 관리,系統將管理,existing
workout_plan_part5," your progress based on your performance, so just focus on exercising diligently!",하니\n운동만 열심히 해주세요!,你的進步取決於你的表現，所以只要專注於努力鍛鍊就好了！,existing
exercise_plan_update,Update: Every Monday at 3:00 am,운동플랜 업데이트: 매주 월요일 am03:00,更新時間：每週一凌晨 3:00,existing
no_plan_today,There is no exercise plan today.,오늘은 운동 플랜이 없습니다.,今天沒有運動計畫。,existing
contact_trainer,Please contact the trainer.,트레이너에게 문의 해보세요.,請諮詢您的培訓師。,existing
contact_trainer,Please contact the trainer.,트레이너에게 문의 해보세요.,請聯繫培訓師。,existing
period,Period,진행 시간,時期,existing
period,Period,진행 시간,期間,existing
LEFT,Left,좌측(한손),左,existing
RIGHT,Right,우측(한손),右,existing
DUMBBELL,Dubmbbell,덤벨(양손),啞鈴,existing
BARBELL,Barbell,바벨(양손),槓鈴,existing
FULL,Full Body,전신,全身,existing
workout_mode,Mode,운동모드,模式,existing
duration_desc,Duration,진행 시간,時期,existing
duration_desc,Duration,진행 시간,期間,existing
repetitions,Reps,횟수,次,existing
exercise_instruction,Exercise Instruction,운동 방법,運動指導,existing
precautions,Precautions,주의사항,預防措施,existing
notes,Notes,메모,筆記,existing
left_right_distinction,Left/Right,좌/우 구분,左/右,existing
handle,Handle,손잡이,處理,existing
exercise_supplies,Exercise Supplies,운동 준비물,運動用品,existing
no_supplies_needed,No supplies needed.,준비물이 없습니다.,無需補給。,existing
date,Date,날짜,日期,existing
image,Image,이미지,影像,existing
arm_selection,Arm Selection,암 선택,手臂選擇,existing
left_arm,Left Arm,왼쪽 암,左臂,existing
not_used,Not Used,사용 안함,未使用,existing
pin_number,Up/Down Pin:,상하 핀번호 :,上/下銷：,existing
side_pin,Side Pin:,좌우 핀번호 :,側銷：,existing
right_arm,Right Arm,오른쪽 암,右臂,existing
exercise_list,Exercise List,운동 동작 목록,練習清單,existing
verification_code_not_received,Didn't receive the verification code?,인증번호가 오지 않는다면?,沒有收到代碼？,existing
go_to_login_dialog,Go to Login,로그인 하러 가기,前往登入,existing
check_id,Check ID,아이디 확인,身份驗證,existing
check_id_desc,Here is the list of IDs that match your information.,회원님의 정보와 일치하는 아이디 목록입니다.,與您的資訊相符的 ID 清單。,existing
fitvisor,,핏바이저,健身者,existing
starting_in_different_way,Login with Email,이메일로 시작하기,,new
level_of_exercise_reason,"Based on your exercise records and goals, We can automatically recommend weights and repetitions.","내 운동기록과 목적에 따라 무게, 횟수를 자동으로 추천해 드려요.",,new
advanced_desc,I'm an exercise addict who can't go a day without working out.,하루라도 운동을 빠지면 안되는 운동 중독이에요,,new
how_much_do_you_do_desc,"Think about your usual level of movement and exercise, and make a selection.",평소 움직이는 정도와 운동량을 생각해보시고 선택해주세요!,,new
login_with_gmail,Login with Gmail,Gmail로 시작하기,,new
add_subscription,+ Add Subscription,+ 회원권 추가,,new
mr_end_comment2,"Levels by Overall Score : 100~90 (Very Good), 89 ~ 80 (Good), 79 ~ 70 (Normal), 69 ~ (Bad)\nIf there is a missing data, overall score will not be shown.","종합 점수별 평가 등급 : 100~90점  (Very Good), 89~80점 (Good), 79~70점 (Normal), 69점~ (Bad)\n*평가 항목이 1건이라도 없을 경우, 종합 점수가 반영되지 않습니다.",,new
not_available_on_kiosk,This feature is not available on the kiosk. Please use the mobile application to access this function.,이 기능은 키오스크에서 사용할 수 없습니다. 이 기능을 이용하려면 모바일 애플리케이션을 사용해주세요.,,new
why_keep_taping,Why are you keep tapping this?,왜 계속 이것을 탭하고 계십니까?,,new
dialog_image_path,assets/images/renfit/exercise-program/dialog_image_en.png,assets/images/renfit/exercise-program/dialog_image_ko.png,,new
sign_up_info,Please enter the information to sign up,회원가입을 위한 정보를 입력해주세요.,,new
agree_to_all_terms,Agree to all terms,약관 전체 동의,,new
terms_of_service_agreement_required,Agree to the terms of service (required),이용약관 동의(필수),,new
personal_information_collection_agreement_required,Agree to the collection and use of personal information (required),개인정보 수집 및 이용동의(필수),,new
email_sms_marketing_agreement_optional,Agree to receive marketing information via E-mail and SMS (optional),E-mail 및 SMS 광고성 정보 수신동의(선택),,new
promotion_event_info,We will send you information about various promotions and events.,"다양한 프로모션 소식, 이벤트 정보를 보내드립니다.",,new
name,Name,이름,,new
date_of_birth_text_field,Date of Birth,생년월일,,new
date_format_example,"Please enter numbers only in the format MM/DD/YYYY (e.g., 01312023).",예) 20240101 형식으로 숫자만 입력해주세요.,,new
date_format,MMddyyyy,yyyyMMdd,,new
select_country,Select Country,국가 선택,,new
phone_number_numeric_only,Please enter only numbers for your phone number.,휴대폰 번호를 숫자만 입력해 주세요.,,new
phone_number_txf,Phone Number,휴대폰번호,,new
verification_request,Verify,인증요청,,new
verify_phone_number,Please check if your phone number is correct. The verification code may be delayed depending on your carrier.\n\nYou can resend the verification code once every minute.,휴대전화번호가 정확한지 확인해 주세요. 통신사에 따라 인증번호 발송이 늦어질 수 있습니다.\n\n인증번호 재전송은 1분에 1회 가능합니다.,,new
enter_verification_code,Verification code.,인증번호를 입력해주세요.,,new
email,Email,이메일,,new
gender_required,Gender (Required),성별(필수),,new
user_already_exist,User already exists.,이미 리앤핏 회원이시네요.,,new
user_already_exist_message,The user already exists.,이미 가입된 회원입니다. 로그인을 진행할까요,,new
welcome_user,"Welcome, @userName!","@userName님, 환영합니다!",,new
start_exercise,Start a fail-proof workout with Renfit.,리앤핏과 함께 실패없는 운동을\n시작해보세요.,,new
start_renfit,Start,리앤핏 시작하기,,new
user_does_not_exist,Renfit account does not exist.,리앤핏 계정이 존재하지 않습니다.,,new
user_does_not_exist_desc,"No Renfit account matches the provided information. If you don't remember your ID, please use [Find ID] first before attempting to recover your password.",입력한 정보와 일치하는 리앤핏계정이 존재하지 않습니다. \n아이디가 기억나지 않으시면 먼저 [아이디 찾기] 를 진행한 후 비밀번호 찾기를 시도해 주세요.,,new
kakao_login,Kakao Social Login,카카오 소셜 로그인,,new
naver_login,Naver Social Login,네이버 소셜 로그인,,new
apple_login,Apple Social Login,애플 소셜 로그인,,new
google_login,Google Social Login,구글 소셜 로그인,,new
find_password_desc,Please enter the information to retrieve your password.,비밀번호를 찾기 위한 정보를 입력해 주세요.,,new
date_format_day,Joined on @year/@month/@day,@year년 @month월 @day일 가입,,new
reset_password_description,Please reset the password for your account.,계정의 비밀번호를 재설정해 주세요.,,new
password_changed,Password Reset Complete,비밀번호 재설정 완료,,new
password_changed_desc,Please log in with your new password.,변경된 비밀번호로 로그인해주세요.,,new
setting_page,Settings,설정,,new
manage_my_information,Manage My Information,내 정보 관리,,new
email_id,Email ID,이메일 아이디,,new
change_password,Change Password,비밀번호 변경,,new
linked_account,Linked Account Information,연결 계정 정보,,new
linked_account_title,Account Information,계정 정보 안내,,new
linked_account_desc,These are the social login accounts linked to your account.,회원님의 계정에 연결된 소셜 로그인 계정입니다.,,new
change_name,Edit Name,이름 수정,,new
edit_confirm,Confirm,수정하기,,new
change_phone_number,Edit Phone Number,휴대폰 번호 수정,,new
change_phone_number_desc,Your member number will not change even if your phone number does.,휴대폰 번호가 변경되더라도 멤버 번호는 바뀌지 않습니다.,,new
change_password_enter_old,Enter Current Password,현재 비밀번호 입력,,new
change_password_enter_old_desc,Please enter your current password to verify your linked account information.,연결된 계정 정보를 확인하기 위해 현재 비밀번호를 입력해주세요.,,new
change_password_title,Edit Password,비밀번호 수정,,new
error_while_changing_data,An error occurred while updating your information.,정보를 업데이트하는 중에 오류가 발생했습니다.,,new
wrong_password,Incorrect Password,잘못된 비밀번호,,new
didnt_receive_code,Didn't receive the verification code?,인증 번호가 오지 않나요?,,new
did_not_receive_code_desc,Please check if your phone number is correct. The verification code may be delayed depending on your carrier.\n\nYou can resend the verification code once every minute.,휴대전화번호가 정확한지 확인해 주세요. 통신사에 따라 인증번호 발송이 늦어질 수 있습니다.\n\n인증번호 재전송은 1분에 1회 가능합니다.,,new
